会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
アクセンチュア,accenture,コンサル,✓,✓,,,✓
デロイト トーマツ コンサルティング,deloitte,コンサル,✓,✓,,,✓
PwCコンサルティング,pwc,コンサル,✓,✓,,,✓
EYストラテジー・アンド・コンサルティング,ey,コンサル,✓,,,,
KPMGコンサルティング,kpmg,コンサル,✓,✓,,,✓
アビームコンサルティング,abeam,コンサル,✓,✓,,,✓
ベイカレント・コンサルティング,baycurrent,コンサル,✓,✓,,,✓
アーサー・D・リトル,adl,コンサル,✓,✓,,,✓
ローランド・ベルガー,roland-berger,コンサル,✓,✓,,,✓
Strategy&（PwC）,strategy-and,コンサル,✓,✓,,,✓
IBMコンサルティング,ibm-consulting,コンサル,✓,✓,,,✓
野村総合研究所（NRI）,nri,コンサル,✓,✓,,,✓
三菱総合研究所（MRI）,mri,コンサル,✓,✓,,,✓
日本総合研究所（JRI）,jri,コンサル,✓,✓,,,✓
三菱UFJリサーチ&コンサルティング,murc,コンサル,✓,✓,,,✓
ドリームインキュベータ,dream-incubator,コンサル,✓,✓,,,✓
コーポレイトディレクション（CDI）,cdi,コンサル,✓,✓,,,✓
メディパルホールディングス,medipal,専門商社,✓,✓,,,✓
アルフレッサ ホールディングス,alfresa,専門商社,✓,✓,,,✓
スズケン,suzuken,専門商社,✓,✓,,,✓
東邦ホールディングス,toho-hd,専門商社,✓,✓,,,✓
三菱食品,mitsubishi-shokuhin,専門商社,✓,,,,✓
国分グループ本社,kokubu,専門商社,✓,✓,,,✓
加藤産業,kato-sangyo,専門商社,✓,✓,,,✓
伊藤忠食品,itochu-shokuhin,専門商社,✓,✓,,,✓
メタルワン,metal-one,専門商社,✓,✓,,,✓
阪和興業,hanwa,専門商社,✓,✓,,,✓
JFE商事,jfe-shoji,専門商社,✓,✓,,,✓
マクニカホールディングス,macnica-hd,専門商社,✓,✓,,,✓
加賀電子,kaga-electronics,専門商社,✓,✓,,,✓
レスターホールディングス,lester-hd,専門商社,✓,✓,,,✓
長瀬産業,nagase,専門商社,✓,✓,,,✓
稲畑産業,inabata,専門商社,✓,✓,,,✓
蝶理,chori,専門商社,✓,✓,,,✓
因幡電機産業,inaba-denki,専門商社,✓,✓,,,✓
西華産業,seika-sangyo,専門商社,✓,✓,,,✓
第一実業,daiichi-jitsugyo,専門商社,✓,✓,,,✓
東京電力ホールディングス,tepco,インフラ・エネルギー,✓,,,,✓
関西電力,kepco,インフラ・エネルギー,✓,,,,✓
中部電力,chubu-electric,インフラ・エネルギー,✓,,,,✓
九州電力,kyushu-electric,インフラ・エネルギー,✓,,,,✓
東北電力,tohoku-electric,インフラ・エネルギー,✓,,,,✓
中国電力,chugoku-electric,インフラ・エネルギー,✓,,,,✓
四国電力,shikoku-electric,インフラ・エネルギー,✓,,,,✓
北海道電力,hokkaido-electric,インフラ・エネルギー,✓,,,,✓
北陸電力,hokuriku-electric,インフラ・エネルギー,✓,,,,✓
沖縄電力,okinawa-electric,インフラ・エネルギー,✓,,,,✓
電源開発（J-POWER）,j-power,インフラ・エネルギー,✓,,,,✓
JERA,jera,インフラ・エネルギー,✓,,,,✓
東京ガス,tokyo-gas,インフラ・エネルギー,✓,,,,✓
大阪ガス,osaka-gas,インフラ・エネルギー,✓,,,,✓
東邦ガス,toho-gas,インフラ・エネルギー,✓,,,,✓
西部ガス,saibu-gas,インフラ・エネルギー,✓,,,,✓
ENEOSホールディングス,eneos,インフラ・エネルギー,✓,,,,✓
出光興産,idemitsu,インフラ・エネルギー,✓,,,,✓
コスモエネルギーホールディングス,cosmo-energy,インフラ・エネルギー,✓,,,,✓
INPEX,inpex,インフラ・エネルギー,✓,,,,✓
石油資源開発（JAPEX）,japex,インフラ・エネルギー,✓,,,,✓
日揮ホールディングス,jgc-hd,インフラ・エネルギー,✓,,,,✓
千代田化工建設,chiyoda,インフラ・エネルギー,✓,,,,✓
レノバ,renova,インフラ・エネルギー,✓,,,,✓
イーレックス,erex,インフラ・エネルギー,✓,,,,✓
ウエスト ホールディングス,west-hd,インフラ・エネルギー,✓,,,,✓
栗田工業,kurita,インフラ・エネルギー,✓,,,,✓
メタウォーター,metawater,インフラ・エネルギー,✓,,,,✓
静岡ガス,shizuoka-gas,インフラ・エネルギー,✓,,,,✓
北海道ガス,hokkaido-gas,インフラ・エネルギー,✓,,,,✓
三井不動産,mitsui-fudosan,不動産・建設,✓,✓,,,✓
三菱地所,mitsubishi-estate,不動産・建設,✓,✓,,,✓
住友不動産,sumitomo-fudosan,不動産・建設,✓,✓,,,✓
野村不動産ホールディングス,nomura-fudosan-hd,不動産・建設,✓,✓,,,✓
東急不動産ホールディングス,tokyu-fudosan-hd,不動産・建設,✓,✓,,,✓
森ビル,mori-building,不動産・建設,✓,,,,✓
ヒューリック,hulic,不動産・建設,✓,✓,,,✓
東京建物,tokyo-tatemono,不動産・建設,✓,✓,,,✓
大和ハウス工業,daiwa-house,不動産・建設,✓,,,,✓
積水ハウス,sekisui-house,不動産・建設,✓,,,,✓
住友林業,sumitomo-forestry,不動産・建設,✓,,,,✓
飯田グループホールディングス,iida-group-hd,不動産・建設,✓,,,,✓
オープンハウスグループ,open-house-group,不動産・建設,✓,,,,✓
大東建託,daito-kentaku,不動産・建設,✓,,,,✓
鹿島建設,kajima,不動産・建設,✓,,,,✓
大林組,obayashi,不動産・建設,✓,,,,✓
